"lumayan","lama","cukup","rendah","standar","rendah","jarang","sedikit","tolerance (h03)","r62"
"lumayan","lama","cukup","rendah","standar","sedang","jarang","sedikit","tolerance (h03)","r63"
"banyak","cepat","cukup","rendah","standar","rendah","jarang","sedikit","tolerance (h03)","r64"
"banyak","cepat","cukup","rendah","standar","sedang","jarang","sedikit","tolerance (h03)","r65"
"banyak","standar","cukup","rendah","standar","rendah","jarang","sedikit","tolerance (h03)","r66"
"banyak","standar","cukup","rendah","standar","sedang","jarang","sedikit","tolerance (h03)","r67"
"banyak","lama","cukup","rendah","standar","rendah","jarang","sedikit","tolerance (h03)","r68"
"banyak","lama","cukup","rendah","standar","sedang","jarang","sedikit","tolerance (h03)","r69"
"sedikit","standar","jarang","sedang","standar","sedang","jarang","sedikit","withdrawal (h04)","r70"
"sedikit","standar","jarang","sedang","standar","sedang","cukup","sedikit","withdrawal (h04)","r71"
"sedikit","standar","jarang","sedang","standar","sedang","sering","sedikit","withdrawal (h04)","r72"
"sedikit","standar","jarang","tinggi","standar","sedang","jarang","sedikit","withdrawal (h04)","r73"
"sedikit","standar","jarang","tinggi","standar","sedang","cukup","sedikit","withdrawal (h04)","r74"
"sedikit","standar","jarang","tinggi","standar","sedang","sering","sedikit","withdrawal (h04)","r75"
"sedikit","standar","cukup","tinggi","standar","sedang","jarang","sedikit","withdrawal (h04)","r76"
"sedikit","standar","cukup","tinggi","standar","sedang","cukup","sedikit","withdrawal (h04)","r77"
"sedikit","standar","cukup","tinggi","standar","sedang","sering","sedikit","withdrawal (h04)","r78"
"sedikit","standar","sering","sedang","standar","sedang","jarang","sedikit","withdrawal (h04)","r79"
"sedikit","standar","sering","sedang","standar","sedang","cukup","sedikit","withdrawal (h04)","r80"
"sedikit","standar","sering","sedang","standar","sedang","sering","sedikit","withdrawal (h04)","r81"
"sedikit","standar","sering","tinggi","standar","sedang","jarang","sedikit","withdrawal (h04)","r82"
"sedikit","standar","sering","tinggi","standar","sedang","cukup","sedikit","withdrawal (h04)","r83"
